Timestamp,TERM_ANA,LM35_0,LM35_1,LM35_2,DS18B20_0,DS18B20_1,DS18B20_2
2025-05-21 09:40:21,790.0,556.0,617.0,27.0,11.75,14.13,15.88
2025-05-21 09:40:22,788.0,556.0,613.0,37.0,11.81,14.06,15.88
2025-05-21 09:40:24,790.0,556.0,618.0,30.0,11.75,14.13,15.88
2025-05-21 09:40:26,789.0,556.0,615.0,26.0,11.81,14.13,15.88
2025-05-21 09:40:27,788.0,556.0,616.0,23.0,11.75,14.13,15.88
2025-05-21 09:40:29,789.0,556.0,614.0,30.0,11.81,14.13,15.88
2025-05-21 09:40:31,790.0,556.0,615.0,30.0,11.81,14.13,15.88
2025-05-21 09:40:33,787.0,556.0,619.0,56.0,11.81,14.06,15.88
2025-05-21 09:40:34,789.0,556.0,611.0,55.0,11.81,14.13,15.88
2025-05-21 09:40:36,790.0,556.0,615.0,32.0,11.81,14.13,15.88
2025-05-21 09:40:38,789.0,556.0,619.0,23.0,11.81,14.13,15.81
2025-05-21 09:40:39,788.0,556.0,610.0,24.0,11.81,14.13,15.88
2025-05-21 09:40:41,789.0,556.0,614.0,32.0,11.81,14.13,15.88
2025-05-21 09:40:43,790.0,556.0,614.0,20.0,11.81,14.13,15.88
2025-05-21 09:40:44,790.0,556.0,614.0,29.0,11.88,14.13,15.88
2025-05-21 09:40:46,788.0,556.0,622.0,30.0,11.88,14.13,15.88
2025-05-21 09:40:48,790.0,556.0,617.0,53.0,11.88,14.13,15.88
2025-05-21 09:40:49,787.0,556.0,609.0,23.0,11.88,14.13,15.88
2025-05-21 09:40:51,788.0,556.0,610.0,22.0,11.94,14.13,15.88
2025-05-21 09:40:53,789.0,556.0,613.0,25.0,11.94,14.06,15.88
2025-05-21 09:40:54,791.0,556.0,611.0,21.0,11.94,14.13,15.88
2025-05-21 09:40:56,790.0,556.0,609.0,20.0,12.0,14.13,15.88
2025-05-21 09:40:58,791.0,556.0,614.0,27.0,12.0,14.13,15.88
2025-05-21 09:41:00,790.0,556.0,614.0,35.0,12.0,14.06,15.88
2025-05-21 09:41:01,788.0,556.0,614.0,29.0,12.0,14.13,15.88
2025-05-21 09:41:03,789.0,556.0,614.0,30.0,12.0,14.13,15.88
